AccX,AccY,AccZ
0.01,-0.017,-9.829
-0.009,-0.004,-9.84
0.035,-0.071,-9.865
0.002,-0.031,-9.879
0.04,-0.054,-9.849
0.036,-0.042,-9.838
0.016,-0.04,-9.877
0.014,-0.01,-9.956
0.007,-0.017,-9.86
0.009,0.018,-9.837
0.036,-0.067,-9.834
0.033,-0.023,-9.879
0.019,-0.026,-9.852
0.043,-0.047,-9.87
0.014,-0.005,-9.841
0.009,0.02,-9.829
0.013,-0.013,-9.845
0.039,-0.031,-9.841
0.009,0.003,-9.87
0.031,-0.034,-9.844
0.013,-0.032,-9.866
0.037,-0.06,-9.856
0.034,-0.057,-9.894
0.039,-0.039,-9.857
0.034,-0.052,-9.832
0.038,-0.031,-9.908
0.015,-0.057,-9.831
0.021,-0.027,-9.851
0.035,-0.047,-9.819
0.032,-0.061,-9.893
0.047,-0.062,-9.818
0.029,-0.016,-9.898
0.036,-0.058,-9.893
0.044,-0.063,-9.895
0.043,-0.05,-9.875
0.002,-0.018,-9.805
0.04,-0.042,-9.873
0.044,-0.02,-9.831
-0.007,0.008,-9.92
0.022,-0.012,-9.906
0.047,-0.062,-9.84
0.011,-0.032,-9.837
-0.02,0.037,-9.894
0.029,-0.014,-9.862
0.007,0.004,-9.812
-0.007,0.001,-9.861
0.002,-0.019,-9.858
0.014,-0.002,-9.904
0.011,-0.03,-9.873
0.044,-0.038,-9.857
0.003,-0.015,-9.87
0.015,-0.014,-9.828
0.035,-0.053,-9.874
0.004,-0.009,-9.86
0.018,-0.041,-9.902
0.051,-0.064,-9.866
0.039,-0.05,-9.88
0.044,-0.052,-9.831
-0.003,-0.011,-9.88
0.015,-0.022,-9.898
0.037,-0.059,-9.926
0.011,0.015,-9.902
0.028,-0.051,-9.864
0.008,-0.03,-9.889
0.022,-0.024,-9.869
0.04,-0.046,-9.881
0.042,-0.086,-9.879
0.003,-0.012,-9.871
0.029,-0.055,-9.865
0.032,-0.026,-9.845
0.009,-0.016,-9.9
0.001,0.001,-9.88
0.008,-0.03,-9.885
0.039,-0.043,-9.861
0,-0.009,-9.872
0.026,-0.047,-9.845
0.039,-0.028,-9.875
0.028,-0.042,-9.868
-0.005,-0.015,-9.9
0.002,0.005,-9.91
0.033,-0.062,-9.882
0.05,-0.067,-9.861
0.005,-0.021,-9.836
0.032,-0.062,-9.895
0.04,-0.062,-9.86
0.019,0.001,-9.887
0.009,-0.041,-9.846
0.038,-0.011,-9.851
0.007,-0.005,-9.829
0.026,-0.036,-9.908
0.041,-0.073,-9.873
0.031,-0.04,-9.902
0.018,-0.037,-9.936
0.018,-0.008,-9.818
0.035,-0.025,-9.859
0.019,-0.018,-9.913
-0.036,0.027,-9.884
