AccX,AccY,AccZ
0.042,-0.053,-9.867
0.044,-0.046,-9.824
0.029,-0.055,-9.864
0.05,-0.066,-9.842
-0.011,-0.002,-9.847
0.021,-0.031,-9.852
0.031,-0.068,-9.865
0.004,-0.036,-9.876
0.038,-0.026,-9.856
0.006,-0.022,-9.896
0.016,-0.046,-9.889
-0.004,0.003,-9.866
0.015,-0.033,-9.841
0.032,0.02,-9.864
0.017,-0.031,-9.885
0.014,-0.003,-9.903
0.035,-0.043,-9.851
0.043,-0.04,-9.897
0.011,-0.001,-9.855
-0.016,0.015,-9.858
0.024,-0.025,-9.833
0.028,-0.009,-9.877
0.038,-0.068,-9.86
0.014,-0.018,-9.853
0.021,-0.025,-9.832
0.041,-0.03,-9.837
-0.015,0.017,-9.865
-0.001,0.022,-9.877
0.008,-0.027,-9.878
0.063,-0.06,-9.836
0.02,-0.021,-9.816
0.035,-0.041,-9.901
0.044,-0.077,-9.883
0.063,-0.039,-9.851
0.048,-0.077,-9.879
0.021,-0.026,-9.881
-0.006,-0.005,-9.837
-0.002,0.019,-9.866
0.046,-0.039,-9.83
0.029,-0.029,-9.864
0.033,-0.061,-9.845
0.014,-0.001,-9.824
0.019,-0.044,-9.878
0.06,-0.057,-9.867
0.011,-0.047,-9.827
0.051,-0.069,-9.898
0.021,-0.019,-9.859
0.009,-0.007,-9.853
-0.005,-0.007,-9.842
0.032,-0.003,-9.919
0.012,-0.036,-9.891
0.038,-0.058,-9.852
0.014,-0.015,-9.88
0.068,-0.063,-9.891
0.017,-0.054,-9.879
0.015,-0.016,-9.841
0.002,-0.006,-9.884
0.027,-0.037,-9.825
-0.003,0.022,-9.848
0.018,-0.037,-9.862
0.025,-0.049,-9.909
0.028,-0.02,-9.855
0.011,-0.026,-9.882
0.044,-0.043,-9.876
0.016,-0.023,-9.863
-0.002,0.003,-9.821
-0.007,-0.021,-9.857
0.02,-0.028,-9.858
0.042,-0.017,-9.854
0.018,-0.001,-9.895
0.01,-0.019,-9.87
0.048,-0.063,-9.872
0.055,-0.075,-9.868
0.022,-0.03,-9.848
0.016,-0.028,-9.848
0.032,-0.053,-9.875
0.032,-0.051,-9.891
0.039,-0.061,-9.874
0.03,-0.065,-9.872
0.003,-0.013,-9.857
0.04,-0.065,-9.843
0.05,-0.048,-9.872
0.02,-0.014,-9.877
0.022,-0.009,-9.905
0.011,-0.009,-9.869
0.044,-0.061,-9.871
0.024,-0.031,-9.851
0.056,-0.089,-9.915
0.015,-0.017,-9.871
-0.01,0.039,-9.868
0.036,-0.06,-9.857
0.015,0.006,-9.92
0.004,-0.013,-9.835
0.035,-0.044,-9.868
0.02,-0.028,-9.833
0.023,-0.013,-9.835
0.032,-0.063,-9.857
0.043,-0.022,-9.917
-0.006,0.019,-9.886
0.021,-0.027,-9.867
0.021,-0.023,-9.899
0.016,-0.016,-9.856
-0.01,0.012,-9.871
0.005,0.003,-9.884
-0.002,0.013,-9.897
0.044,-0.018,-9.823
0.017,-0.034,-9.833
0.028,-0.022,-9.819
0.012,-0.042,-9.908
0.009,-0.022,-9.822
0.033,-0.028,-9.865
0.062,-0.075,-9.918
0.006,-0.002,-9.903
0.027,-0.02,-9.795
0.001,-0.003,-9.806
0.062,-0.068,-9.913
0.017,-0.007,-9.845
0.032,-0.033,-9.875
0.036,-0.067,-9.867
0.055,-0.073,-9.898
0.03,-0.043,-9.844
0.035,-0.041,-9.821
-0.004,-0.028,-9.837
0.01,-0.019,-9.906
0.008,-0.012,-9.89
0.026,-0.054,-9.907
0.02,-0.039,-9.858
0.013,-0.016,-9.879
0.022,-0.059,-9.908
0.04,-0.029,-9.865
-0.023,0.013,-9.898
0.02,-0.036,-9.849
0.007,-0.016,-9.925
0.029,-0.035,-9.841
0,-0.029,-9.869
0.024,-0.033,-9.907
0.008,-0.025,-9.895
0.029,-0.046,-9.865
0.012,-0.033,-9.87
0.01,0.009,-9.855
0.027,-0.036,-9.873
0.028,-0.019,-9.92
0.002,-0.019,-9.891
0.049,-0.07,-9.93
0.016,-0.047,-9.82
0.039,-0.084,-9.924
0.021,0.007,-9.845
0.076,-0.07,-9.824
0.015,-0.036,-9.902
0.03,-0.032,-9.836
0.029,-0.04,-9.903
0.04,-0.045,-9.823
0.012,-0.025,-9.863
0.01,-0.03,-9.881
0.025,-0.043,-9.857
0.019,-0.018,-9.846
0.024,-0.027,-9.841
0.026,-0.036,-9.824
0.007,-0.026,-9.897
0.031,-0.042,-9.845
0.011,-0.039,-9.89
-0.003,0.015,-9.878
0.018,-0.054,-9.829
0.07,-0.082,-9.86
0.026,-0.03,-9.888
0.035,-0.054,-9.894
0.038,-0.051,-9.884
0.008,0.002,-9.872
0.022,-0.024,-9.844
0.017,0,-9.86
0.015,-0.037,-9.857
0.058,-0.061,-9.856
0.022,-0.056,-9.898
0.032,-0.045,-9.876
0.029,-0.035,-9.884
0.03,-0.013,-9.781
0.04,-0.058,-9.883
0.055,-0.075,-9.914
0.031,-0.033,-9.88
0.042,-0.06,-9.843
0.067,-0.102,-9.846
0.033,-0.033,-9.853
-0.002,-0.009,-9.874
0.036,-0.022,-9.856
0.056,-0.078,-9.891
0.067,-0.071,-9.923
-0.014,-0.005,-9.87
-0.003,-0.011,-9.875
0.04,-0.086,-9.885
0.031,-0.03,-9.898
0.035,-0.047,-9.89
0.027,-0.017,-9.889
0.039,-0.028,-9.858
0.048,-0.087,-9.86
-0.003,0.001,-9.882
0.053,-0.055,-9.896
-0.005,0.009,-9.868
0.007,-0.006,-9.839
0.033,-0.056,-9.882
0.001,0.019,-9.927
0.005,-0.026,-9.858
0.034,-0.048,-9.899
0.024,-0.031,-9.84
0.058,-0.07,-9.852
-0.005,-0.001,-9.847
0.038,-0.03,-9.906
0.023,-0.032,-9.902
0.05,-0.054,-9.849
0.012,-0.018,-9.843
0.012,-0.017,-9.926
0.01,-0.017,-9.847
0.019,-0.015,-9.88
0.024,-0.018,-9.858
0.039,-0.042,-9.882
0.005,-0.004,-9.857
0.008,-0.015,-9.889
0.066,-0.082,-9.843
0.015,-0.021,-9.892
0.012,-0.014,-9.852
0.047,-0.065,-9.856
0.01,-0.003,-9.779
0.048,-0.047,-9.865
0.002,-0.009,-9.838
0.026,-0.023,-9.914
0.026,-0.03,-9.835
-0.008,0.004,-9.873
0.035,-0.065,-9.823
0.043,-0.035,-9.857
0.02,-0.017,-9.815
0.042,-0.071,-9.844
0.05,-0.083,-9.88
0.025,-0.005,-9.902
0.02,-0.049,-9.857
0.008,-0.002,-9.883
0.052,-0.069,-9.889
0.017,-0.009,-9.882
0.015,-0.018,-9.913
0.04,-0.048,-9.897
0.023,-0.032,-9.864
-0.004,0.017,-9.879
-0.017,-0.007,-9.871
0.07,-0.093,-9.879
0.026,-0.053,-9.885
0.02,0.009,-9.852
0.047,-0.073,-9.853
0.016,-0.041,-9.942
0.017,-0.041,-9.922
0.038,-0.059,-9.828
0.027,-0.021,-9.888
0.038,-0.054,-9.871
0.045,-0.073,-9.882
0.044,-0.063,-9.862
0.05,-0.058,-9.913
0.031,-0.032,-9.861
0.02,-0.032,-9.873
0.043,-0.044,-9.845
0.022,-0.043,-9.827
0.028,-0.037,-9.896
0.009,-0.035,-9.875
0.003,-0.018,-9.903
0.04,-0.039,-9.851
0.045,-0.053,-9.882
0.045,-0.029,-9.874
0.014,-0.016,-9.896
0.037,-0.035,-9.87
0.031,-0.008,-9.857
0.006,-0.008,-9.897
0.013,-0.001,-9.849
0.009,-0.041,-9.832
0.02,-0.031,-9.867
0.01,-0.015,-9.839
-0.001,-0.012,-9.892
0.017,-0.032,-9.889
0.03,-0.06,-9.861
0.02,-0.025,-9.881
0.033,-0.038,-9.856
0.02,-0.045,-9.884
0.021,-0.003,-9.882
-0.004,-0.025,-9.873
0.051,-0.072,-9.869
0.033,-0.031,-9.868
0.033,-0.036,-9.871
-0.02,0.024,-9.846
0.014,-0.002,-9.862
0.028,-0.046,-9.889
0.039,-0.053,-9.854
0.013,-0.053,-9.89
0.03,-0.042,-9.847
0.017,-0.034,-9.839
0.036,-0.045,-9.89
0.04,-0.049,-9.908
0.028,-0.014,-9.862
0.001,-0.017,-9.858
0.047,-0.044,-9.884
0.024,-0.023,-9.897
0.031,-0.025,-9.905
0.002,-0.002,-9.92
0.005,0.004,-9.923
0.019,-0.018,-9.897
0.027,-0.016,-9.877
0.027,-0.041,-9.854
0.013,-0.016,-9.868
0.027,-0.046,-9.845
0.038,-0.053,-9.89
0.04,-0.069,-9.87
0.028,-0.034,-9.857
0.016,-0.031,-9.827
0.012,0.004,-9.897
0.011,-0.016,-9.88
0.011,0.009,-9.876
0.009,-0.003,-9.874
0.041,-0.031,-9.866
0.029,-0.04,-9.856
0.024,-0.02,-9.859
0.036,-0.032,-9.891
0.065,-0.069,-9.881
0.041,-0.058,-9.871
0.025,-0.015,-9.89
0.043,-0.05,-9.886
0.037,-0.053,-9.843
0.013,-0.034,-9.894
0.047,-0.069,-9.874
0.005,0.005,-9.857
0.024,-0.056,-9.857
0.032,-0.046,-9.888
0.047,-0.054,-9.88
0.014,-0.026,-9.859
0.052,-0.046,-9.845
0.034,-0.03,-9.887
0.035,-0.039,-9.852
0.042,-0.09,-9.889
0.028,-0.003,-9.85
-0.009,-0.009,-9.92
0.03,-0.04,-9.887
0.017,-0.053,-9.86
0.049,-0.086,-9.891
0,-0.035,-9.925
0.046,-0.049,-9.901
0.012,-0.016,-9.886
0.026,-0.055,-9.885
0.023,-0.054,-9.892
-0.006,-0.008,-9.852
0.032,-0.05,-9.856
0.032,-0.015,-9.855
-0.001,-0.01,-9.872
0.017,-0.025,-9.864
0.017,-0.011,-9.835
0.036,-0.064,-9.822
0.021,-0.043,-9.897
0.012,-0.02,-9.833
0.014,-0.027,-9.859
0.033,-0.031,-9.873
-0.002,-0.028,-9.817
0.03,-0.038,-9.85
0.002,-0.026,-9.873
0.042,-0.065,-9.9
0.018,-0.033,-9.87
0.04,-0.033,-9.806
0.019,-0.03,-9.861
0.006,-0.003,-9.862
0.041,-0.078,-9.846
0.01,-0.01,-9.83
0.03,-0.05,-9.868
0.063,-0.075,-9.838
-0.021,0.011,-9.84
0.03,-0.017,-9.858
0.015,-0.032,-9.886
0.006,-0.015,-9.849
0.034,-0.051,-9.876
0.029,-0.057,-9.852
-0.004,-0.013,-9.888
0.066,-0.078,-9.832
0.029,-0.021,-9.83
0.023,-0.044,-9.835
0.004,0,-9.849
-0.005,0.006,-9.9
0.045,-0.079,-9.872
0.066,-0.089,-9.908
0.013,-0.04,-9.886
0.013,-0.019,-9.885
0.018,-0.053,-9.872
-0.002,-0.018,-9.934
0.031,-0.042,-9.896
0.024,-0.01,-9.886
-0.001,0.014,-9.873
0.042,-0.088,-9.902
0.005,-0.01,-9.853
0.001,0.024,-9.801
0.024,-0.033,-9.846
-0.001,0.027,-9.858
0.035,-0.049,-9.894
0.042,-0.055,-9.881
0.039,-0.047,-9.868
0.017,-0.018,-9.863
-0.015,0.014,-9.892
0.042,-0.022,-9.852
0.017,-0.011,-9.822
0.044,-0.039,-9.828
0.045,-0.055,-9.786
0.046,-0.03,-9.847
0.063,-0.081,-9.861
0.012,-0.014,-9.864
0.033,-0.025,-9.92
0.023,-0.007,-9.899
0.036,-0.044,-9.835
0.035,-0.023,-9.886
0.04,-0.075,-9.868
0.031,-0.038,-9.884
0.06,-0.029,-9.882
0.029,-0.023,-9.912
0.04,-0.046,-9.859
0.027,-0.044,-9.886
0.044,-0.084,-9.85
0.022,-0.039,-9.858
0.03,-0.064,-9.838
0.032,-0.032,-9.83
0.014,-0.036,-9.896
0.028,-0.034,-9.822
0.029,-0.034,-9.862
0.023,-0.022,-9.805
0.013,-0.041,-9.82
0.014,-0.018,-9.835
0.04,-0.075,-9.829
0.057,-0.074,-9.816
0.025,-0.041,-9.843
0.029,-0.045,-9.82
0.014,-0.031,-9.811
0.04,-0.035,-9.868
0.052,-0.091,-9.882
0.07,-0.068,-9.843
0.012,-0.057,-9.86
0.027,-0.009,-9.844
0.031,-0.062,-9.922
0.041,-0.05,-9.915
0.019,-0.036,-9.858
0.039,-0.023,-9.852
0.043,-0.067,-9.877
0.03,-0.037,-9.894
0.037,-0.054,-9.832
0.065,-0.05,-9.88
0.025,-0.053,-9.865
0.007,-0.005,-9.894
0.002,-0.02,-9.861
0.03,-0.062,-9.886
-0.024,0.022,-9.917
0.026,-0.044,-9.837
0.03,-0.074,-9.86
0.053,-0.072,-9.809
0.016,-0.007,-9.879
0.056,-0.073,-9.889
0.021,-0.041,-9.905
0.039,-0.049,-9.878
0.022,-0.019,-9.926
0.03,-0.006,-9.859
-0.012,0.015,-9.884
0.053,-0.048,-9.846
0.017,-0.021,-9.875
0.041,-0.081,-9.857
0.002,-0.032,-9.904
0.053,-0.069,-9.857
0.044,-0.077,-9.919
0.031,-0.029,-9.874
0.033,-0.051,-9.903
0.026,-0.004,-9.886
0.017,-0.018,-9.88
0.022,-0.007,-9.86
0.025,-0.03,-9.885
0.012,0.001,-9.866
0.046,-0.057,-9.884
0.039,-0.038,-9.828
0.027,-0.043,-9.853
0.023,-0.035,-9.859
0.047,-0.083,-9.888
0.018,-0.034,-9.854
0.001,-0.016,-9.906
0.032,-0.028,-9.856
0.011,-0.045,-9.847
0.049,-0.081,-9.886
0.032,-0.043,-9.864
0.034,-0.047,-9.876
-0.008,0.022,-9.851
0.058,-0.085,-9.831
0.047,-0.053,-9.901
0.027,-0.021,-9.878
0.025,-0.015,-9.801
0.041,-0.039,-9.873
0.033,-0.049,-9.891
0.034,-0.061,-9.874
0.082,-0.091,-9.867
0.051,-0.057,-9.883
0.014,-0.022,-9.843
0.005,0.018,-9.846
0.026,-0.057,-9.884
0.026,-0.027,-9.875
0.014,-0.029,-9.866
0.035,-0.069,-9.855
0.002,-0.019,-9.893
0.039,-0.033,-9.862
0.042,-0.103,-9.88
0.013,0.003,-9.851
0.001,-0.005,-9.845
0.031,-0.016,-9.89
0,0,-9.877
0.052,-0.037,-9.907
0.012,-0.043,-9.883
0.056,-0.049,-9.889
0.008,0.005,-9.861
0.026,-0.057,-9.896
0.017,-0.028,-9.863
0.022,-0.026,-9.847
0.034,-0.051,-9.868
0.019,-0.017,-9.876
0.013,-0.019,-9.839
0.033,-0.024,-9.882
0.026,-0.04,-9.912
0.032,-0.036,-9.876
0.015,-0.02,-9.861
0.005,0.006,-9.866
0.011,-0.011,-9.889
0.02,-0.016,-9.914
0.016,-0.006,-9.885
0.018,0.018,-9.772
0.016,-0.047,-9.916
0.061,-0.059,-9.837
0.025,-0.009,-9.91
0.03,-0.038,-9.877
0.047,-0.083,-9.861
0.014,-0.025,-9.854
0.038,-0.062,-9.888
0.05,-0.075,-9.855
0.023,-0.04,-9.888
0.028,-0.018,-9.878
0.019,-0.049,-9.888
0.032,-0.046,-9.86
0.032,-0.06,-9.877
0.004,0.022,-9.875
0,-0.034,-9.897
0.033,-0.039,-9.826
0.029,-0.04,-9.887
0.046,-0.043,-9.844
0.023,-0.025,-9.902
0.026,-0.024,-9.897
0.028,-0.067,-9.851
0.026,0.017,-9.867
0.035,-0.048,-9.874
0.052,-0.074,-9.862
0.033,-0.04,-9.884
0.034,-0.052,-9.836
0.012,-0.013,-9.88
0.031,-0.014,-9.874
0.014,-0.012,-9.842
0.049,-0.082,-9.89
0.051,-0.051,-9.877
0.052,-0.075,-9.869
0.02,-0.038,-9.857
0.033,-0.025,-9.837
0.026,-0.032,-9.877
0.025,-0.03,-9.915
0.035,-0.054,-9.875
0.012,0.031,-9.897
0.013,0.006,-9.829
0.047,-0.073,-9.862
0.027,-0.049,-9.856
0.007,0.021,-9.791
0.018,-0.047,-9.861
0.049,-0.043,-9.915
0.016,-0.016,-9.846
0.008,0.004,-9.877
0.037,-0.044,-9.842
0.041,-0.052,-9.861
0.028,-0.038,-9.832
0.028,-0.04,-9.889
0.025,-0.038,-9.897
0.029,-0.02,-9.882
0.036,-0.068,-9.839
0.01,-0.016,-9.877
-0.003,-0.008,-9.844
0.05,-0.061,-9.866
-0.007,0.004,-9.878
0.02,-0.035,-9.904
0.033,-0.029,-9.899
0.021,-0.021,-9.831
-0.007,-0.001,-9.873
0.018,0.018,-9.878
0,-0.012,-9.819
0.032,-0.018,-9.892
0.017,-0.037,-9.85
0.009,-0.012,-9.871
0.03,-0.04,-9.863
0.029,-0.027,-9.873
-0.007,0.017,-9.826
0.046,-0.044,-9.946
0.031,-0.043,-9.823
0.054,-0.051,-9.868
0.027,-0.039,-9.833
0.037,-0.037,-9.859
0.02,-0.028,-9.85
0.038,-0.023,-9.832
0.01,-0.008,-9.872
0.022,0.013,-9.854
0.012,-0.044,-9.893
0.043,-0.035,-9.841
0.026,-0.055,-9.858
0.064,-0.064,-9.87
0.019,-0.023,-9.873
0.05,-0.075,-9.898
0.031,-0.048,-9.882
0.036,-0.05,-9.873
0.007,-0.017,-9.849
0.037,-0.033,-9.874
0.015,-0.024,-9.895
0.027,-0.004,-9.849
0.002,0.003,-9.86
0.015,0.003,-9.925
0.035,-0.034,-9.851
0.03,-0.023,-9.891
0.007,0,-9.864
-0.007,-0.016,-9.892
0.035,-0.028,-9.863
0.026,-0.006,-9.867
0.03,-0.055,-9.84
0.026,-0.032,-9.845
0.056,-0.102,-9.864
0.039,-0.061,-9.861
0.001,-0.011,-9.885
0.052,-0.053,-9.849
0.028,-0.027,-9.934
0.013,-0.001,-9.864
0.035,-0.063,-9.865
0.03,-0.047,-9.861
0.047,-0.057,-9.877
0.045,-0.052,-9.87
0.007,-0.029,-9.898
0.012,0.013,-9.828
0.025,-0.048,-9.91
0.018,-0.016,-9.858
0.025,-0.03,-9.921
0.037,-0.008,-9.935
0.023,-0.029,-9.842
0.038,-0.068,-9.919
0.022,-0.042,-9.869
0.042,-0.046,-9.883
0.025,-0.026,-9.87
0.03,-0.022,-9.844
0.023,-0.026,-9.843
0.019,-0.033,-9.901
0.007,0.004,-9.893
0.017,0,-9.861
0.03,-0.054,-9.893
0.046,-0.046,-9.875
0.001,-0.012,-9.866
0.002,-0.036,-9.829
0.059,-0.069,-9.876
0.057,-0.055,-9.915
0.018,-0.023,-9.928
0.024,-0.004,-9.898
0.029,-0.05,-9.82
-0.019,0.019,-9.843
0.018,-0.023,-9.856
0.06,-0.072,-9.855
0.014,-0.033,-9.907
0.038,-0.033,-9.86
0.022,-0.047,-9.915
0.009,-0.011,-9.889
0.032,-0.052,-9.853
0.027,-0.043,-9.894
0.003,-0.017,-9.883
0.033,-0.039,-9.864
0.053,-0.054,-9.879
0.041,-0.077,-9.852
0.028,-0.058,-9.875
0.058,-0.078,-9.803
0,-0.002,-9.818
0.026,-0.039,-9.89
-0.003,-0.002,-9.837
0.047,-0.054,-9.877
0.02,-0.049,-9.849
0.024,-0.042,-9.905
0.025,-0.039,-9.867
0.051,-0.029,-9.866
0.025,-0.048,-9.913
0.036,-0.063,-9.833
0.017,-0.043,-9.858
0.048,-0.052,-9.896
0.018,-0.029,-9.839
0.04,-0.018,-9.811
-0.003,0.004,-9.869
0.026,-0.058,-9.907
0.019,-0.049,-9.884
0.024,-0.006,-9.83
-0.001,-0.022,-9.833
0.016,-0.013,-9.862
0.008,-0.014,-9.899
0.034,-0.053,-9.86
0.035,-0.052,-9.894
0.009,-0.012,-9.875
0.033,-0.042,-9.883
0.055,-0.063,-9.874
0.021,-0.025,-9.841
0.016,-0.007,-9.856
0.013,0.011,-9.89
0.04,0.007,-9.863
-0.005,-0.026,-9.872
0.069,-0.076,-9.793
0.006,-0.011,-9.877
0.036,-0.021,-9.885
-0.003,-0.016,-9.892
0.006,-0.022,-9.893
0.019,-0.012,-9.846
0.031,-0.053,-9.86
0.012,-0.026,-9.842
0.018,-0.035,-9.845
0.023,-0.044,-9.889
0.019,-0.013,-9.916
0.009,-0.011,-9.902
0.048,-0.066,-9.836
0.017,-0.027,-9.845
0.057,-0.055,-9.853
-0.021,0,-9.875
0.026,-0.005,-9.895
0.017,-0.022,-9.913
0.017,-0.034,-9.9
0.028,-0.057,-9.847
0.043,-0.049,-9.836
0.036,-0.076,-9.847
0.015,-0.025,-9.87
0.022,-0.036,-9.891
0.02,-0.026,-9.891
-0.007,0.015,-9.836
0.035,-0.034,-9.88
0.028,-0.012,-9.934
0.062,-0.061,-9.905
0.001,-0.013,-9.906
0.052,-0.062,-9.873
0.052,-0.058,-9.912
0.029,-0.033,-9.859
-0.005,0.025,-9.851
0.031,-0.031,-9.846
0.041,-0.071,-9.818
0.039,-0.071,-9.922
-0.031,0.023,-9.929
0.011,-0.009,-9.889
0.02,-0.042,-9.871
0.038,-0.055,-9.85
-0.002,-0.002,-9.867
0.051,-0.056,-9.906
0.012,-0.009,-9.852
0.036,-0.036,-9.843
0.047,-0.073,-9.854
0.033,-0.035,-9.856
0.007,-0.042,-9.862
0.01,-0.005,-9.885
0.027,-0.077,-9.911
0.044,-0.059,-9.879
0.058,-0.091,-9.857
0.047,-0.037,-9.815
-0.013,-0.001,-9.875
0.032,-0.053,-9.812
0.019,-0.026,-9.832
0.031,-0.014,-9.886
0.043,-0.064,-9.903
0.024,-0.048,-9.82
0.059,-0.073,-9.879
0.016,-0.03,-9.824
0.013,-0.032,-9.883
0.037,-0.021,-9.882
0.032,-0.035,-9.888
0.012,-0.043,-9.889
0.015,-0.014,-9.846
0.041,-0.085,-9.87
0.043,-0.061,-9.886
0.027,-0.024,-9.866
0.031,-0.051,-9.838
0.042,-0.031,-9.852
0.039,-0.072,-9.866
0.043,-0.024,-9.885
0.045,-0.059,-9.943
0.041,-0.035,-9.87
0.029,-0.051,-9.854
0.047,-0.031,-9.882
0.038,-0.03,-9.848
0.028,-0.029,-9.925
0.04,-0.056,-9.839
-0.004,0.015,-9.864
0.017,-0.033,-9.892
0.022,-0.033,-9.901
0.012,-0.034,-9.859
0.036,-0.049,-9.85
0.04,-0.068,-9.863
0.041,-0.051,-9.824
0.019,-0.022,-9.85
0.053,-0.056,-9.872
0.033,-0.029,-9.862
0.073,-0.075,-9.913
0.015,-0.03,-9.883
0.053,-0.04,-9.893
0.023,-0.037,-9.886
0.033,-0.034,-9.889
0.016,-0.024,-9.829
0.031,-0.026,-9.853
0.031,-0.061,-9.867
0.025,0,-9.886
0.018,-0.029,-9.829
-0.001,0.015,-9.897
0.003,-0.013,-9.847
0.013,-0.011,-9.831
0.023,-0.057,-9.907
0.044,-0.054,-9.884
0.039,-0.037,-9.896
0.025,-0.03,-9.833
0.048,-0.077,-9.882
0.04,-0.039,-9.908
0.014,-0.064,-9.874
0.062,-0.068,-9.835
0.07,-0.105,-9.895
0.029,-0.063,-9.896
0.032,-0.061,-9.917
0.034,-0.033,-9.882
0.006,-0.015,-9.886
0.033,-0.041,-9.848
0.017,-0.018,-9.835
0.033,-0.039,-9.856
0.036,-0.055,-9.854
0.047,-0.048,-9.845
-0.006,-0.017,-9.882
0.04,-0.035,-9.881
0.038,-0.046,-9.854
0.026,-0.021,-9.841
0.003,-0.007,-9.89
0.05,-0.071,-9.857
0.021,-0.038,-9.874
0.026,-0.034,-9.845
0.039,-0.047,-9.903
0.037,-0.021,-9.916
-0.005,0.012,-9.912
0.043,-0.069,-9.891
0.007,-0.026,-9.859
0.066,-0.07,-9.888
0.034,-0.023,-9.871
0.018,-0.021,-9.87
0.014,-0.016,-9.872
0.039,-0.024,-9.861
0.015,-0.026,-9.835
0.04,-0.067,-9.865
0.023,-0.076,-9.83
0.037,-0.067,-9.872
0.039,-0.064,-9.827
0.042,-0.048,-9.822
0.048,-0.069,-9.849
0.012,0.003,-9.901
0.007,0.008,-9.856
0.046,-0.065,-9.905
-0.001,0.02,-9.852
0.036,-0.05,-9.892
0.021,-0.011,-9.878
0.014,0.006,-9.843
0.022,-0.033,-9.85
0.021,-0.043,-9.87
0.03,-0.035,-9.892
0.016,-0.03,-9.863
0.01,-0.018,-9.824
0.029,-0.033,-9.856
0.016,-0.029,-9.847
0.024,-0.019,-9.843
0.032,-0.053,-9.842
0.007,-0.029,-9.857
0.012,-0.02,-9.874
0.043,-0.049,-9.879
0.024,-0.035,-9.858
0.037,-0.052,-9.892
0.005,-0.003,-9.815
0.029,-0.025,-9.918
0.023,-0.044,-9.861
0.034,-0.031,-9.846
0.037,-0.083,-9.863
0.019,-0.005,-9.824
0.033,-0.054,-9.885
0.026,-0.027,-9.888
0.045,-0.083,-9.841
0.048,-0.034,-9.872
0.051,-0.077,-9.832
0.036,-0.032,-9.844
0.039,-0.062,-9.899
0.044,-0.029,-9.86
0.021,-0.035,-9.91
0.029,-0.034,-9.861
0.034,-0.056,-9.887
0.059,-0.047,-9.804
0.033,-0.069,-9.905
0.018,-0.005,-9.851
0.05,-0.054,-9.833
0.025,-0.019,-9.858
0.031,-0.063,-9.833
0.03,-0.023,-9.831
0.036,-0.06,-9.856
0.038,-0.059,-9.835
0.05,-0.086,-9.829
-0.001,-0.018,-9.888
0.013,-0.036,-9.843
0.032,-0.033,-9.836
0.036,-0.075,-9.872
0.026,-0.049,-9.886
0.034,-0.078,-9.883
0.048,-0.067,-9.839
0.042,-0.052,-9.872
0.035,-0.021,-9.836
-0.002,-0.029,-9.876
0.019,-0.017,-9.857
0.027,-0.02,-9.855
0.032,-0.03,-9.82
0.042,-0.068,-9.864
0.042,-0.057,-9.867
0.025,-0.045,-9.879
0.039,-0.07,-9.946
0.06,-0.074,-9.843
0.046,-0.033,-9.823
0.006,-0.039,-9.882
0.003,0.016,-9.857
0.027,-0.032,-9.856
0.016,0.013,-9.875
0.025,-0.042,-9.866
0.046,-0.078,-9.865
0.039,-0.047,-9.849
0.028,-0.04,-9.89
0.012,-0.002,-9.863
0.035,-0.049,-9.893
0.033,-0.047,-9.802
0.029,-0.025,-9.886
0.008,-0.047,-9.835
0.017,0.023,-9.875
0.04,-0.052,-9.855
0.017,-0.01,-9.843
-0.004,-0.031,-9.893
0.049,-0.062,-9.849
0.031,-0.06,-9.853
0.034,-0.05,-9.834
0.03,-0.04,-9.83
0.046,-0.048,-9.865
0.031,-0.036,-9.897
0.025,-0.022,-9.823
0.003,-0.001,-9.843
0.01,-0.001,-9.844
0.039,-0.04,-9.906
0.031,-0.034,-9.862
0.028,-0.04,-9.832
0.053,-0.061,-9.837
0.008,-0.007,-9.85
0.002,-0.013,-9.903
0.041,-0.063,-9.855
0.044,-0.028,-9.865
0.02,-0.044,-9.8
0.02,0.018,-9.875
0.039,-0.056,-9.882
0.023,-0.016,-9.907
0.004,0.013,-9.899
0.032,-0.037,-9.885
0.025,-0.06,-9.869
0.043,-0.031,-9.908
-0.004,0.027,-9.928
0.035,-0.046,-9.879
0.034,-0.038,-9.876
0.029,-0.034,-9.834
-0.004,-0.005,-9.832
0.036,-0.039,-9.843
0.017,-0.033,-9.843
0.037,-0.051,-9.852
0.014,-0.048,-9.905
0.019,-0.043,-9.874
-0.016,-0.024,-9.841
0.04,-0.06,-9.85
0.051,-0.045,-9.857
0.026,-0.01,-9.884
0.042,-0.06,-9.89
0.038,-0.059,-9.885
0.031,-0.047,-9.851
0.02,-0.006,-9.866
0.012,-0.02,-9.89
0.054,-0.069,-9.893
0.04,-0.068,-9.883
0.068,-0.057,-9.835
0.027,-0.032,-9.892
0.035,-0.034,-9.865
0.016,-0.017,-9.807
0.064,-0.035,-9.908
0.057,-0.071,-9.864
0.06,-0.065,-9.864
0.038,-0.053,-9.827
0.021,-0.006,-9.831
0.044,-0.05,-9.855
0.043,-0.068,-9.883
0.046,-0.061,-9.864
0.015,-0.037,-9.838
0.041,-0.058,-9.848
0.042,-0.042,-9.907
-0.004,0.001,-9.846
0.027,-0.01,-9.871
0.023,-0.036,-9.915
0.045,-0.037,-9.855
0.029,-0.056,-9.911
0.047,-0.076,-9.819
0.038,-0.057,-9.863
